Ref,Val,Package,PosX,PosY,Rot,Side
"RN2","R_Pack04","R_Array_Convex_4x0603",-46.736000,-40.081200,90.000000,bottom
"RN3","R_Pack04","R_Array_Convex_4x0603",-29.718000,-40.081200,90.000000,bottom
"RN4","R_Pack04","R_Array_Convex_4x0603",-25.933400,-40.081200,90.000000,bottom
"RN5","R_Pack04","R_Array_Convex_4x0603",-39.903400,-40.132000,90.000000,bottom
"RN6","R_Pack04","R_Array_Convex_4x0603",-36.068000,-40.132000,90.000000,bottom
"U1","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",-12.522200,-16.433800,270.000000,bottom
"U3","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",-48.463200,-33.959800,90.000000,bottom
"U4","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",-27.508200,-33.948600,90.000000,bottom
"U5","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",-37.998400,-33.959800,90.000000,bottom
"U6","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",-15.468600,-40.538400,0.000000,bottom
"U7","DRV8833PWP","HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias",-15.189200,-54.254400,270.000000,bottom
"U8","LM339","TSSOP-14_4.4x5mm_P0.65mm",-58.191400,-77.724000,0.000000,bottom
"U9","FS312","SOT-23-6",-59.969400,-88.747600,180.000000,bottom
"U10","MT3608","SOT-23-6",-32.334200,-86.588600,270.000000,bottom
"U11","KF33BDT","TO-252-3_TabPin2",-36.875000,-15.500000,0.000000,bottom
